Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.09.2-incubating,src/jvm/backtype/storm/serialization/ISerialization.java,2,2,0,0,0,7,6,3.5,0,false
0.09.2-incubating,src/jvm/backtype/storm/serialization/SerializationFactory.java,1169,57,0,458,120,1500,241,26.31579,8.035088,false
0.09.2-incubating,src/jvm/backtype/storm/Config.java,1903,120,0,1456,104,2099,241,17.491667,12.133333,false
0.09.2-incubating,src/jvm/backtype/storm/tuple/Tuple.java,2349,42,0,647,100,1294,241,30.809525,15.404762,false
0.09.2-incubating,src/jvm/storm/starter/WordCountTopology.java,249,8,0,155,90,149,75,18.625,19.375,false
0.09.2-incubating,src/jvm/storm/starter/PrintSampleStream.java,53,5,0,45,37,95,75,19,9,false
0.09.2-incubating,src/jvm/storm/starter/ExclamationTopology.java,183,8,0,111,70,149,75,18.625,13.875,false
0.09.2-incubating,src/jvm/backtype/storm/clojure/ClojureBolt.java,215,17,0,83,24,939,241,55.235294,4.882353,false
0.09.2-incubating,src/jvm/backtype/storm/utils/Utils.java,1133,76,0,735,166,1562,241,20.552631,9.671053,false
0.09.2-incubating,src/jvm/backtype/storm/clojure/ClojureSpout.java,362,13,0,292,109,794,241,61.076923,22.461538,false
0.09.2-incubating,src/jvm/backtype/storm/utils/NimbusClient.java,161,16,0,23,4,531,241,33.1875,1.4375,false
0.09.2-incubating,src/jvm/storm/starter/bolt/RollingCountObjects.java,119,2,0,114,113,19,15,9.5,57,false
0.09.2-incubating,src/jvm/storm/starter/bolt/RankObjects.java,140,5,0,106,105,26,15,5.2,21.2,false
0.09.2-incubating,src/jvm/storm/starter/bolt/MergeObjects.java,145,5,0,111,110,26,15,5.2,22.2,false
0.09.2-incubating,src/jvm/storm/starter/RollingTopWords.java,198,6,0,117,61,155,75,25.833334,19.5,false
0.09.2-incubating,src/jvm/storm/starter/spout/TwitterSampleSpout.java,136,6,0,119,105,99,75,16.5,19.833334,false
0.09.2-incubating,src/jvm/backtype/storm/task/ShellBolt.java,759,44,0,333,84,1266,241,28.772728,7.568182,false
0.09.2-incubating,src/jvm/backtype/storm/spout/ISpout.java,40,4,0,28,14,281,241,70.25,7,false
0.09.2-incubating,src/jvm/backtype/storm/spout/ShellSpout.java,200,15,0,151,53,487,241,32.466667,10.066667,false
0.09.2-incubating,src/jvm/backtype/storm/tuple/Fields.java,37,7,0,31,10,343,241,49,4.428571,false
0.09.2-incubating,src/jvm/backtype/storm/task/TopologyContext.java,1182,63,0,411,55,1537,241,24.396826,6.5238094,false
0.09.2-incubating,src/jvm/backtype/storm/utils/Time.java,66,14,0,12,4,653,241,46.642857,0.85714287,false
0.09.2-incubating,src/jvm/backtype/storm/generated/TopologySummary.java,876,8,0,525,95,602,241,75.25,65.625,false
0.09.2-incubating,src/jvm/backtype/storm/generated/TopologyInfo.java,1234,17,0,618,162,847,241,49.82353,36.35294,false
0.09.2-incubating,src/jvm/backtype/storm/generated/TaskSummary.java,883,12,0,69,23,664,241,55.333332,5.75,false
0.09.2-incubating,src/jvm/backtype/storm/generated/TaskStats.java,722,10,0,63,21,639,241,63.9,6.3,false
0.09.2-incubating,src/jvm/backtype/storm/generated/TaskSpecificStats.java,262,4,0,102,34,406,241,101.5,25.5,false
0.09.2-incubating,src/jvm/backtype/storm/generated/SupervisorSummary.java,529,6,0,259,95,440,241,73.333336,43.166668,false
0.09.2-incubating,src/jvm/backtype/storm/generated/StreamInfo.java,298,6,0,69,23,519,241,86.5,11.5,false
0.09.2-incubating,src/jvm/backtype/storm/generated/StormTopology.java,1206,10,0,279,216,639,241,63.9,27.9,false
0.09.2-incubating,src/jvm/backtype/storm/generated/StateSpoutSpec.java,252,4,0,63,21,406,241,101.5,15.75,false
0.09.2-incubating,src/jvm/backtype/storm/generated/SpoutStats.java,1066,12,0,63,21,682,241,56.833332,5.25,false
0.09.2-incubating,src/jvm/backtype/storm/generated/SpoutSpec.java,671,7,0,65,23,658,241,94,9.285714,false
0.09.2-incubating,src/jvm/backtype/storm/generated/ShellComponent.java,244,4,0,63,21,406,241,101.5,15.75,false
